N;data;resultado;mandante;gremio;inter;saldo_gremio;saldo_inter;campeonato;estadio;gols
1;18/07/1909;Grêmio 10 X 0 Internacional;Grêmio;10;0;10;-10;Amistoso;Baixada;Booth (G), Booth (G), Booth (G), Booth (G), Booth (G), Grünewald (G), Grünewald (G), Grünewald (G), Grünewald (G), Moreira (G)
2;17/07/1910;Grêmio 5 X 0 Internacional;Grêmio;5;0;5;-5;Citadino;Baixada;Mostardeiro (G), Booth (G), Booth (G), Geyer (G), Moreira (G)
3;18/06/1911;Grêmio 10 X 1 Internacional;Grêmio;10;1;9;-9;Citadino;Outros;Edwin Cox (G), Vinholes (I), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G)
4;23/06/1912;Grêmio 6 X 0 Internacional;Grêmio;6;0;6;-6;Citadino;Baixada;? (G), ? (G), ? (G), ? (G), ? (G), ? (G)
5;15/09/1912;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Galvão (I), Booth (G), Booth (G)
6;08/06/1913;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Citadino;Chácara dos Eucaliptos;Ashlin (G), Ashlin (G), Túlio (I)
7;31/10/1915;Grêmio 1 X 4 Internacional;Grêmio;1;4;-3;3;Amistoso;Baixada;Müller (I), Bedionda (I), Bedionda (I), Tulio (I), Sisson (G)
8;30/07/1916;Internacional 6 X 1 Grêmio;Internacional;1;6;-5;5;Citadino;Chácara dos Eucaliptos;Vares (I), Vares (I), Vares (I), Vares (I), Vares (I), Vares (I), Scalco (G)
9;29/10/1916;Grêmio 2 X 3 Internacional;Grêmio;2;3;-1;1;Citadino;Baixada;Túlio (I), Muller (I), Oswaldo (I), Sisson (G), Assumpção (G)
10;10/05/1918;Internacional 5 X 3 Grêmio;Internacional;3;5;-2;2;Citadino;Chácara dos Eucaliptos;Mário Cunha (I), Mário Cunha (I), Ribas (I), Ribas (I), Guimarães (I), Lagarto (G), Lagarto (G), Pavani (G)
11;04/08/1918;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Citadino;Baixada;Garibotti (G)
12;20/07/1919;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Citadino;Chácara dos Eucaliptos;Carlos Kluwe (I), Pedro (I)
13;14/09/1919;Grêmio 3 X 2 Internacional;Grêmio;3;2;1;-1;Citadino;Baixada;Dorival (G), Lagarto (G), Lewis (G), Gil (I), Bedionda (I)
14;02/05/1920;Internacional 1 X 4 Grêmio;Internacional;4;1;3;-3;Citadino;Chácara dos Eucaliptos;Ramon (G), Ramon (G), Gertum (G), Gertum (G), Geny (I)
15;22/08/1920;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Gertum (G), Lagarto (G), Rosário (I)
16;23/09/1923;Grêmio 3 X 2 Internacional;Grêmio;3;2;1;-1;Amistoso;Baixada;Luiz Carvalho (G), Totte (G), Lagarto (G), Barros (I), Eduardo (I)
17;01/11/1923;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Amistoso;Chácara dos Eucaliptos;Armando (G)
18;27/04/1924;Grêmio 4 X 3 Internacional;Grêmio;4;3;1;-1;Amistoso;Baixada;Totte (G), Totte (G), Totte (G), Léo (G), Geny (I), Ribeiro (I), Ribeiro (I)
19;12/11/1924;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Amistoso;Chácara dos Eucaliptos;Veiga (I), Eduardo (I), Bruno (G)
20;24/05/1925;Grêmio 3 X 3 Internacional;Grêmio;3;3;0;0;Citadino;Baixada;Nenê (G), Corô (G), Meneghetti (contra, G), Barros (I), Barros (I), Veiga (I)
21;11/10/1925;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Citadino;Outros;Oliveiro (G), Luiz Carvalho (G), Barros (I), Barros (I)
22;27/06/1926;Internacional 1 X 4 Grêmio;Internacional;4;1;3;-3;Citadino;Chácara dos Eucaliptos;Luiz Carvalho (G), Esperança (G), Corô (G), Corô (G), Barros (I)
23;14/11/1926;Grêmio 4 X 3 Internacional;Grêmio;4;3;1;-1;Citadino;Baixada;Luiz Carvalho (G), Luiz Carvalho (G), Corô (G), Telêmaco (G), Ribeiro (I), Ribeiro (I), Barros (I)
24;08/05/1927;Internacional 3 X 2 Grêmio;Internacional;2;3;-1;1;Citadino;Chácara dos Eucaliptos;Ross (I), Miro (I), Ribeiro (I), Telêmaco (G), Telêmaco (G)
25;12/06/1927;Grêmio 1 X 3 Internacional;Grêmio;1;3;-2;2;Citadino;Baixada;Nenê (I), Barros (I), Barros (I), Domingos (G)
26;10/06/1928;Internacional 2 X 3 Grêmio;Internacional;3;2;1;-1;Citadino;Chácara dos Eucaliptos;Luiz Carvalho (G), Luiz Carvalho (G), Telêmaco (G), Ross (I), Ribeiro (I)
27;26/08/1928;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Citadino;Baixada;Telêmaco (G), Esperança (G), Ribeiro (I), Ramão (I)
28;19/11/1928;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Amistoso;Chácara dos Eucaliptos;Telêmaco (G), Nenê (G)
29;26/05/1929;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Amistoso;Baixada;Corô (G), Moreno (contra, G), Magno (I)
30;14/07/1929;Internacional 4 X 2 Grêmio;Internacional;2;4;-2;2;Citadino;Chácara dos Eucaliptos;Nenê (I), Ribeiro (I), Lourival (I), Lourival (I), Telêmaco (G), Corô (G)
31;10/11/1929;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Miro (contra, G), Amâncio (G), Dario (contra, I)
32;04/05/1930;Grêmio 3 X 1 Internacional;Grêmio;3;1;2;-2;Citadino;Baixada;Luiz Carvalho (G), Javel (G), Foguinho (G), Risada (I)
33;14/09/1930;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Outros;Javel (G), Miro (I)
34;15/03/1931;Internacional 3 X 0 Grêmio;Internacional;0;3;-3;3;Amistoso;Eucaliptos;Javel (I), Javel (I), Javel (I)
35;26/04/1931;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Citadino;Eucaliptos;Ross (I)
36;28/07/1931;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Amistoso;Baixada;Luiz Carvalho (G), Foguinho (G)
37;18/10/1931;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Artigas (G), Nenê (G), Magno (I)
38;10/07/1932;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Citadino;Baixada;Artigas (G), Nenê (G)
39;30/10/1932;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Citadino;Eucaliptos;Luiz Carvalho (G)
40;09/04/1933;Grêmio 5 X 3 Internacional;Grêmio;5;3;2;-2;Citadino;Baixada;Luiz Carvalho (G), Luiz Carvalho (G), Nenê (G), Nenê (G), Artigas (G), Venenoso (I), Marreco (I), Tupan (I)
41;13/08/1933;Grêmio 3 X 2 Internacional;Grêmio;3;2;1;-1;Citadino;Baixada;Foguinho (G), Heitor (G), Alemãozinho (G), Risada (I), Venenoso (I)
