N;data;campeonato;estadio;jogador;time;contra
437;23/03/2022;Gaúcho;Arena;Taison;Internacional;
436;19/03/2022;Gaúcho;Beira-Rio;Diego Souza;Grêmio;
436;19/03/2022;Gaúcho;Beira-Rio;Bitello;Grêmio;
436;19/03/2022;Gaúcho;Beira-Rio;Elias;Grêmio;
435;09/03/2022;Gaúcho;Beira-Rio;David;Internacional;
434;06/11/2021;Brasileiro;Beira-Rio;Taison;Internacional;
432;23/05/2021;Gaúcho;Arena;Rodrigo Dourado;Internacional;
432;23/05/2021;Gaúcho;Arena;Ferreira;Grêmio;
431;16/05/2021;Gaúcho;Beira-Rio;Thiago Galhardo;Internacional;
431;16/05/2021;Gaúcho;Beira-Rio;Diego Souza;Grêmio;
431;16/05/2021;Gaúcho;Beira-Rio;Ricardinho;Grêmio;
430;03/04/2021;Gaúcho;Arena;Léo Chú;Grêmio;
429;24/01/2021;Brasileiro;Beira-Rio;Abel Hernández;Internacional;
429;24/01/2021;Brasileiro;Beira-Rio;Edenilson;Internacional;
429;24/01/2021;Brasileiro;Beira-Rio;Jean Pyerre;Grêmio;
428;03/10/2020;Brasileiro;Arena;Pepê;Grêmio;
428;03/10/2020;Brasileiro;Arena;Thiago Galhardo;Internacional;
427;23/09/2020;Outros;Beira-Rio;Pepê;Grêmio;
426;05/08/2020;Gaúcho;Arena;Maicon;Grêmio;
426;05/08/2020;Gaúcho;Arena;Isaque;Grêmio;
425;22/07/2020;Gaúcho;Outros;Jean Pyerre;Grêmio;
423;16/02/2020;Gaúcho;Beira-Rio;Diego Souza;Grêmio;
422;03/11/2019;Brasileiro;Arena;Rômulo;Grêmio;
422;03/11/2019;Brasileiro;Arena;Geromel;Grêmio;
421;20/07/2019;Brasileiro;Beira-Rio;Luan;Grêmio;
421;20/07/2019;Brasileiro;Beira-Rio;Paulo Miranda;Internacional;1
418;17/03/2019;Gaúcho;Arena;Leonardo Gomes;Grêmio;
417;09/09/2018;Brasileiro;Beira-Rio;Edenilson;Internacional;
415;21/03/2018;Gaúcho;Beira-Rio;D'Alessandro;Internacional;
415;21/03/2018;Gaúcho;Beira-Rio;Nico López;Internacional;
414;18/03/2018;Gaúcho;Arena;Arthur;Grêmio;
414;18/03/2018;Gaúcho;Arena;Everton;Grêmio;
414;18/03/2018;Gaúcho;Arena;Jael;Grêmio;
413;11/03/2018;Gaúcho;Beira-Rio;Luan;Grêmio;
413;11/03/2018;Gaúcho;Beira-Rio;Luan;Grêmio;
413;11/03/2018;Gaúcho;Beira-Rio;Rodrigo Dourado;Internacional;
412;04/03/2017;Gaúcho;Arena;Bolaños;Grêmio;
412;04/03/2017;Gaúcho;Arena;Brenner;Internacional;
412;04/03/2017;Gaúcho;Arena;Fernandinho;Grêmio;
412;04/03/2017;Gaúcho;Arena;Roberson;Internacional;
410;03/07/2016;Brasileiro;Beira-Rio;Douglas;Grêmio;
408;22/11/2015;Brasileiro;Beira-Rio;Vitinho;Internacional;
407;09/08/2015;Brasileiro;Arena;Fernandinho;Grêmio;
407;09/08/2015;Brasileiro;Arena;Giuliano;Grêmio;
407;09/08/2015;Brasileiro;Arena;Luan;Grêmio;
407;09/08/2015;Brasileiro;Arena;Luan;Grêmio;
407;09/08/2015;Brasileiro;Arena;Réver ;Grêmio;1
406;03/05/2015;Gaúcho;Beira-Rio;Giuliano;Grêmio;
406;03/05/2015;Gaúcho;Beira-Rio;Nilmar;Internacional;
406;03/05/2015;Gaúcho;Beira-Rio;Valdívia;Internacional;
403;09/11/2014;Brasileiro;Arena;Alan Ruiz;Grêmio;
403;09/11/2014;Brasileiro;Arena;Alan Ruiz;Grêmio;
403;09/11/2014;Brasileiro;Arena;Luan;Grêmio;
403;09/11/2014;Brasileiro;Arena;Rafael Moura;Internacional;
403;09/11/2014;Brasileiro;Arena;Ramiro;Grêmio;
402;10/08/2014;Brasileiro;Beira-Rio;Aránguiz;Internacional;
402;10/08/2014;Brasileiro;Beira-Rio;Cláudio Winck;Internacional;
401;13/04/2014;Gaúcho;Outros;Alan Patrick  ;Internacional;
401;13/04/2014;Gaúcho;Outros;Alex  ;Internacional;
401;13/04/2014;Gaúcho;Outros;Alex  ;Internacional;
401;13/04/2014;Gaúcho;Outros;D'Alessandro  ;Internacional;
401;13/04/2014;Gaúcho;Outros;Ernando ;Grêmio;1
400;30/03/2014;Gaúcho;Arena;Barcos;Grêmio;
400;30/03/2014;Gaúcho;Arena;Rafael Moura;Internacional;
400;30/03/2014;Gaúcho;Arena;Rafael Moura;Internacional;
399;09/02/2014;Gaúcho;Arena;Barcos;Grêmio;
399;09/02/2014;Gaúcho;Arena;Fabrício;Internacional;
398;20/10/2013;Brasileiro;Outros;D'Alessandro;Internacional;
398;20/10/2013;Brasileiro;Outros;Jackson ;Grêmio;1
398;20/10/2013;Brasileiro;Outros;Vargas;Grêmio;
398;20/10/2013;Brasileiro;Outros;Williams;Internacional;
397;04/08/2013;Brasileiro;Arena;Barcos;Grêmio;
397;04/08/2013;Brasileiro;Arena;Leandro Damião;Internacional;
396;24/02/2013;Gaúcho;Outros;Forlán;Internacional;
396;24/02/2013;Gaúcho;Outros;Rodrigo Moledo;Internacional;
396;24/02/2013;Gaúcho;Outros;Willian José;Grêmio;
395;03/02/2013;Gaúcho;Outros;Fernando;Grêmio;
395;03/02/2013;Gaúcho;Outros;Forlán;Internacional;
395;03/02/2013;Gaúcho;Outros;Leandro Damião;Internacional;
393;26/08/2012;Brasileiro;Beira-Rio;Elano;Grêmio;
392;29/04/2012;Gaúcho;Beira-Rio;Dátolo;Internacional;
392;29/04/2012;Gaúcho;Beira-Rio;Fabrício;Internacional;
392;29/04/2012;Gaúcho;Beira-Rio;Werley;Grêmio;
391;22/02/2012;Gaúcho;Beira-Rio;Kléber;Grêmio;
391;22/02/2012;Gaúcho;Beira-Rio;Leandro Damião;Internacional;
391;22/02/2012;Gaúcho;Beira-Rio;Léo Gago;Grêmio;
390;05/02/2012;Gaúcho;Olímpico;Bolívar;Internacional;
390;05/02/2012;Gaúcho;Olímpico;Dátolo;Internacional;
390;05/02/2012;Gaúcho;Olímpico;Marcelo Moreno;Grêmio;
390;05/02/2012;Gaúcho;Olímpico;Marquinhos Santos;Grêmio;
389;04/12/2011;Brasileiro;Beira-Rio;D'Alessandro;Internacional;
388;28/08/2011;Brasileiro;Olímpico;Douglas;Grêmio;
388;28/08/2011;Brasileiro;Olímpico;Índio;Internacional;
388;28/08/2011;Brasileiro;Olímpico;Marquinhos Santos;Grêmio;
387;15/05/2011;Gaúcho;Olímpico;Andrezinho;Internacional;
387;15/05/2011;Gaúcho;Olímpico;Borges;Grêmio;
387;15/05/2011;Gaúcho;Olímpico;D'Alessandro;Internacional;
387;15/05/2011;Gaúcho;Olímpico;Douglas;Grêmio;
387;15/05/2011;Gaúcho;Olímpico;Leandro Damião;Internacional;
386;08/05/2011;Gaúcho;Beira-Rio;Andrezinho;Internacional;
386;08/05/2011;Gaúcho;Beira-Rio;Júnior Viçosa;Grêmio;
386;08/05/2011;Gaúcho;Beira-Rio;Júnior Viçosa;Grêmio;
386;08/05/2011;Gaúcho;Beira-Rio;Leandro Damião;Internacional;
386;08/05/2011;Gaúcho;Beira-Rio;Leandro Moura;Grêmio;
385;01/05/2011;Gaúcho;Beira-Rio;Júnior Viçosa;Grêmio;
385;01/05/2011;Gaúcho;Beira-Rio;Leandro Damião;Internacional;
384;30/01/2011;Gaúcho;Outros;Bruno Collaço;Grêmio;
384;30/01/2011;Gaúcho;Outros;Guto;Internacional;
384;30/01/2011;Gaúcho;Outros;Lins;Grêmio;
383;24/10/2010;Brasileiro;Olímpico;Alecsandro;Internacional;
383;24/10/2010;Brasileiro;Olímpico;André Lima;Grêmio;
383;24/10/2010;Brasileiro;Olímpico;D'Alessandro;Internacional;
383;24/10/2010;Brasileiro;Olímpico;Fábio Santos;Grêmio;
381;02/05/2010;Gaúcho;Olímpico;Giuliano;Internacional;
380;25/04/2010;Gaúcho;Beira-Rio;Borges;Grêmio;
380;25/04/2010;Gaúcho;Beira-Rio;Rodrigo;Grêmio;
379;31/01/2010;Gaúcho;Outros;Alecsandro;Internacional;
378;25/10/2009;Brasileiro;Beira-Rio;D'Alessandro;Internacional;
377;19/07/2009;Brasileiro;Olímpico;Máxi Lopez;Grêmio;
377;19/07/2009;Brasileiro;Olímpico;Nilmar;Internacional;
377;19/07/2009;Brasileiro;Olímpico;Souza;Grêmio;
376;05/04/2009;Gaúcho;Beira-Rio;Andrezinho;Internacional;
376;05/04/2009;Gaúcho;Beira-Rio;Índio;Internacional;
376;05/04/2009;Gaúcho;Beira-Rio;Tcheco;Grêmio;
375;01/03/2009;Gaúcho;Beira-Rio;Alex Mineiro;Grêmio;
375;01/03/2009;Gaúcho;Beira-Rio;Índio;Internacional;
375;01/03/2009;Gaúcho;Beira-Rio;Magrão;Internacional;
374;08/02/2009;Gaúcho;Outros;D'Alessandro;Internacional;
374;08/02/2009;Gaúcho;Outros;Jonas;Grêmio;
374;08/02/2009;Gaúcho;Outros;Nilmar;Internacional;
373;28/09/2008;Brasileiro;Beira-Rio;Alex;Internacional;
373;28/09/2008;Brasileiro;Beira-Rio;D'Alessandro;Internacional;
373;28/09/2008;Brasileiro;Beira-Rio;Índio;Internacional;
373;28/09/2008;Brasileiro;Beira-Rio;Nilmar;Internacional;
373;28/09/2008;Brasileiro;Beira-Rio;Tcheco;Grêmio;
372;28/08/2008;Outros;Olímpico;Hiziel Soares;Grêmio;
372;28/08/2008;Outros;Olímpico;Índio;Internacional;
372;28/08/2008;Outros;Olímpico;Nilmar;Internacional;
372;28/08/2008;Outros;Olímpico;Perea;Grêmio;
371;13/08/2008;Outros;Beira-Rio;Daniel Carvalho;Internacional;
371;13/08/2008;Outros;Beira-Rio;Léo Lacerda;Grêmio;
370;29/06/2008;Brasileiro;Olímpico;Índio;Internacional;
370;29/06/2008;Brasileiro;Olímpico;Roger;Grêmio;
369;16/09/2007;Brasileiro;Olímpico;Léo Lacerda;Grêmio;
